id;title;description;due_date;done
1;out-of-the-box Adaptive users;Quetzal Reactive HTTP;2019-12-30;false
2;Group generate;Planner;2019-12-29;false
3;Seychelles Rupee blue quantifying;invoice Norwegian Krone;2019-12-30;false
4;niches Connecticut;modular;2019-12-29;true
5;Games array;frame Legacy;2019-12-30;true
6;e-commerce Chair;Music deposit;2019-12-30;false
7;payment;Plastic Incredible;2019-12-30;true
8;CSS;benchmark;2019-12-30;false
9;Credit Card Account Kids North Dakota;Generic Cotton;2019-12-29;false
10;SAS;Group Balanced;2019-12-29;false
